"id","name","birth_year_type","birth_year","death_year_type","death_year","gender","odnb_id","historical_significance","group_member"
"10010037","Daniel Quare","IN","1648","IN","1724","male","22942","maker of clocks, watches, and barometers","false"
"10011087","Algernon Sidney","IN","1623","IN","1683","male","25519","political writer","false"
"10005781","Franciscus Mercurius van Helmont","IN","1614","IN","1698","male","66367","physician and cabbalist","false"
"10001027","Joseph Besse","IN","1683","IN","1757","male","2286","historian of Quakerism","true"
"10007110","Lydia Lancaster","IN","1683","IN","1761","female","68176","Quaker minister","true"
"10009959","Mary Prince","AF","1569","IN","1679","female","69115","Quaker preacher","true"
"10001773","John Bunyan","IN","1628","IN","1688","male","3949","author","false"
"10003984","William Erbery","IN","1604","IN","1654","male","8832","clergyman","false"
"10006498","Jeremiah Ives","IN","1646","IN","1674","male","14500","Leveller","false"
"10004292","Samuel Fisher","IN","1604","IN","1665","male","9507","Quaker preacher and writer","true"
"10003882","William Edmundson","IN","1627","IN","1712","male","8508","Quaker leader","true"
"10002385","John Cheyney","IN","1674","IN","1694","male","5267","Church of England clergyman","false"
"10007874","Randall Mainwaring","IN","1588","IN","1652","male","66649","parliamentarian activist","false"
"10012062","Rebecca Travers","IN","1609","IN","1688","female","27672","Quaker preacher and writer","true"
"10000802","Richard Baxter","IN","1615","IN","1691","male","0","ejected minister and religious writer","false"
"10004295","Ralph Fitch","CA","1550","IN","1611","male","9516","merchant and traveller","false"
"10009527","Mary Penington","IN","1623","IN","1682","female","45819","Quaker and writer","true"
"10007246","Elizabeth Leavens","AF","1555","IN","1665","female","69086","Quaker missionary","true"
"10004914","Sidney Godolphin","IN","1645","IN","1712","male","10882","politician","false"
"10003478","William Dewsbury","IN","1621","IN","1688","male","7581","Quaker activist","true"
"10001445","William Bradford","IN","1663","IN","1752","male","3181","printer","false"
"10012295","Robert Venables","IN","1612","IN","1687","male","28181","parliamentarian army officer","false"
"10006189","John Horne","IN","1616","IN","1676","male","13790","clergyman and ejected minister","false"
"10008884","Isaac Norris","IN","1671","IN","1735","male","20275","colonial official and merchant","false"
"10012972","James Wilson","IN","1690","IN","1771","male","66595","biographer","false"
"10007628","Sir William Lower","IN","1610","IN","1662","male","17094","playwright and translator","false"
"10000175","William Ames","AF","1552","IN","1662","male","441","Quaker preacher","true"
"10003827","Mary Dyer","AF","1550","IN","1660","female","69098","Quaker martyr in America","true"
"10000421","Ann Austin","BF","1630","AF","1656","female","0","NA","false"
"10002946","Matthew Cradock","IN","1590","IN","1641","male","6562","merchant and colonial investor","false"
"10011613","John Story","AF","1571","IN","1681","male","69125","Quaker schismatic","true"
"10001180","Thomas Blood","IN","1617","IN","1680","male","2673","adventurer and spy","false"
"10006314","Richard Hubberthorne","IN","1628","IN","1662","male","14018","Quaker activist","true"
"10001957","Giles Calvert","IN","1612","IN","1663","male","39669","bookseller","false"
"10000532","Daniel Baker","BF","1645","AF","1678","male","0","NA","false"
"10004523","George Fox the younger","AF","1551","IN","1661","male","10030","religious writer","false"
"10005359","Edward Haistwell","IN","1658","IN","1709","male","49857","merchant","false"
